2026-08-28T21:34:39.887192+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (63.5ms) | 1.1.1.1 (62.9ms) | 9.9.9.9 (63.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:41.983832+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.4ms) | 1.1.1.1 (57.9ms) | 9.9.9.9 (58.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:44.083952+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.4ms) | 1.1.1.1 (60.9ms) | 9.9.9.9 (61.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:46.177811+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (50.8ms) | 1.1.1.1 (50.4ms) | 9.9.9.9 (50.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:48.276559+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.4ms) | 1.1.1.1 (58.8ms) | 9.9.9.9 (59.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:50.372216+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.6ms) | 1.1.1.1 (60.2ms) | 9.9.9.9 (58.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:52.470132+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.1ms) | 1.1.1.1 (57.8ms) | 9.9.9.9 (57.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | OK
2026-08-28T21:34:54.567365+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.8ms) | 1.1.1.1 (61.5ms) | 9.9.9.9 (61.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | WARN
2026-08-28T21:34:56.665002+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.4ms) | 1.1.1.1 (61.0ms) | 9.9.9.9 (60.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | WARN
2026-08-28T21:34:58.761267+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (16.3ms) | 1.1.1.1 (19.4ms) | 9.9.9.9 (19.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | WARN
2026-08-28T21:35:00.859759+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (67.4ms) | 1.1.1.1 (71.8ms) | 9.9.9.9 (70.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | WARN
2026-08-28T21:35:02.955964+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (74.7ms) | 1.1.1.1 (77.1ms) | 9.9.9.9 (77.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.4ms | -0.2ms | +0.0% | WARN
2026-08-28T21:35:05.053350+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (77.0ms) | 1.1.1.1 (77.3ms) | 9.9.9.9 (79.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.8ms | -0.2ms | +0.0% | WARN
2026-08-28T21:35:07.150852+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (75.6ms) | 1.1.1.1 (76.0ms) | 9.9.9.9 (76.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.8ms | -0.2ms | +0.0% | WARN
